atm_iv_standard_deviation,count,coverage,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor,year
0.06013440768214295,241,0.964,0.23946005955588906,0.007573964473499062,0.24177977359127423,0.0027449673559179766,0.03402624734059327,0.02525157831973478,0.037192285583477085,150,2020
0.12802969411393006,250,1.0,0.2480117017846019,0.013318575787751585,0.22176694538575348,0.0019240793321969735,0.06567239131074734,0.0549887294049683,0.07961924098427046,21,2020
0.10885189767572626,250,1.0,0.24995702631907096,0.013383186339753328,0.22939554346523972,0.0016416295832618055,0.06185128268841696,0.04317493852767163,0.06231724255824206,45,2020
0.08921583366074613,234,0.936,0.24966292202183252,0.008641938569737218,0.23724491506214318,0.0012144718734393573,0.03931391790315253,0.03831652867532558,0.05364978166506528,90,2020
0.021716516002364534,252,1.0,0.18145047726950175,0.0062199881850771715,0.17529244466689697,0.0018436270548758682,0.03468347477089904,0.016643860818626507,0.020027404485471724,150,2021
0.03447909956477385,252,1.0,0.14396038907699216,0.00914310573347192,0.13325560812495973,0.0012462502974087825,0.06569172207272561,0.03398562630526434,0.040783409028425345,21,2021
0.02887064420382549,250,0.9920634920634921,0.15626764589359285,0.008234716253252922,0.14918632667861603,0.0011804215489797376,0.050327539904022806,0.023731740532532374,0.028991819999970036,45,2021
0.024764169346351173,240,0.9523809523809523,0.17018961510983133,0.0068554996108145805,0.1630784254313705,0.000938933606777409,0.040172832791471276,0.01874711967384111,0.026383368608098534,90,2021
0.024298760914072737,248,0.96875,0.23266908185417348,0.007608491306923704,0.23313979465652723,0.0040998230049554135,0.03330949658539055,0.02306026281460825,0.027552528907174623,150,2022
0.04374759902795155,256,1.0,0.22807027782759323,0.012003329887599536,0.23051871256177411,0.0013268703922880015,0.05463651549897332,0.03318992404888915,0.04118842706358663,21,2022
0.035854559798937535,252,0.984375,0.22920478026354857,0.010008612288447974,0.230075298996585,0.0011768644350475393,0.044189571656304535,0.026383858227862492,0.032757555986320984,45,2022
0.02785430963460156,248,0.96875,0.2302448814431429,0.00856470043737273,0.23178920372039183,0.0014762166052841724,0.03518120474080718,0.021086243481174185,0.02369080514707607,90,2022
