atm_iv_standard_deviation,count,coverage,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor,year
0.0313089953705352,189,0.756,0.22508461277514827,0.004719443472690127,0.22290122471809465,,0.02087908047707853,0.01811925848438874,0.026425905772416144,150,2010
0.05204533357851947,157,0.628,0.19606636494640317,0.008585120225194684,0.18475569656969723,,0.04678536094621062,0.03565951387424707,0.05319902656860941,21,2010
0.04408187123960951,197,0.788,0.20293465915002504,0.005886468757024463,0.19576,,0.032234457573075165,0.028495838336062552,0.04897397054157674,45,2010
0.035235893565219376,204,0.816,0.2066209066096923,0.004685863967937631,0.19686108848917416,,0.022212490906759697,0.018028286455646584,0.023548810818496187,90,2010
0.05304504940174659,186,0.7591836734693878,0.22144343689402837,0.005860052501882734,0.19321717546626338,,0.0263713503783202,0.020500722362335244,0.029092128351829595,150,2011
0.07578291686020061,159,0.6489795918367347,0.21587798171795472,0.013267074344568641,0.1878064980231716,,0.06462741829817077,0.03812762780285169,0.052931669613241784,21,2011
0.07022731546408731,200,0.8163265306122449,0.2125770260949611,0.008053490030877755,0.1784897571060462,,0.04454044862468872,0.032863192513107084,0.04664396665373114,45,2011
0.05861017552591178,237,0.9673469387755103,0.21781154177172002,0.006884095044746588,0.1892862664962372,,0.03401605204461815,0.022800017215833537,0.03177087561631106,90,2011
0.01961956363815804,191,0.764,0.18544229876573604,0.003681673357354545,0.18260148536400547,,0.02034949054328703,0.013064287496282991,0.016377602560321905,150,2012
0.03386976561905677,163,0.652,0.15485387800895706,0.006365112894516078,0.14778563568417183,,0.04492439801372341,0.02239803081361454,0.029672389388951403,21,2012
0.02478421078825331,204,0.816,0.16148956044163804,0.0056366540915924745,0.15626461709554784,,0.034883217862368816,0.01708551616858883,0.02219006855893538,45,2012
0.020240374198652107,243,0.972,0.17137684015826318,0.004673697907173202,0.16741643037990353,,0.02887209094891526,0.013904970270105146,0.018481000373309155,90,2012
0.00957595015722499,177,0.7023809523809523,0.14331508666811768,0.0028238456182277105,0.14033656671939734,,0.019356089636262917,0.006673748415548209,0.010682109529018144,150,2013
0.019958552103035935,252,1.0,0.11932519725821386,0.004849874898661198,0.11364983495849867,,0.0441653715517074,0.017204130948576608,0.02410821340790085,21,2013
0.01601916847496049,216,0.8571428571428571,0.1264853527796818,0.004391286601237089,0.12312963361264369,,0.03653143804150205,0.014825494087566338,0.018557772619289335,45,2013
0.0126623514968626,237,0.9404761904761905,0.13579248836560823,0.0030948582214853915,0.13225186958253488,,0.02316245824697855,0.009572159932284136,0.013858374608374474,90,2013
0.014123146588848936,215,0.86,0.1376289999756542,0.002380823043334278,0.1347401557296856,,0.017994157552454183,0.009825641587359527,0.012275848135172669,150,2014
0.02586635467766832,250,1.0,0.11440762635114296,0.00649529622010131,0.10869201698838474,,0.06004242879563087,0.021129613502833627,0.02693426429139536,21,2014
0.02100287779865139,248,0.992,0.12053325829583411,0.00467226529666899,0.11703430468275774,,0.04081149544299223,0.015810692661216014,0.02150261742549364,45,2014
0.016638921590622288,235,0.94,0.13009194850604516,0.0032652205077302876,0.12600570260996086,,0.024425680864955775,0.01238381657136439,0.01605186945861116,90,2014
