atm_iv_standard_deviation,count,coverage,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor,underlying
0.05008326928088618,722,0.9537648612945839,0.32335472642259233,0.006055904758242886,0.32082883480061924,,0.019469802607939877,0.019792273626412005,0.024825409608358592,150,AAPL
0.1002634712394062,757,1.0,0.32952275068328185,0.015671809528835484,0.3159586662790877,,0.051443222017393105,0.048401374959298034,0.06975422463219635,21,AAPL
0.08597848353024541,757,1.0,0.32993728571928344,0.012233234936019577,0.3162274616862767,,0.038733231582169673,0.037048769402939705,0.049610129556011406,45,AAPL
0.07004103886334319,677,0.8943196829590488,0.3308672956631347,0.0075693464839153846,0.325094194894038,,0.02289189193363296,0.02653179892203938,0.0357692228292404,90,AAPL
0.07089081345523042,634,0.8386243386243386,0.4753438367854192,0.007814422359283535,0.4890776349531262,,0.017245062576314283,0.0235390288746275,0.029383819960725838,150,NVDA
0.12195386587458079,756,1.0,0.4971445472103669,0.01936495608866029,0.49200074438303487,,0.04075681624101288,0.063589600259939,0.08645202550860712,21,NVDA
0.10051215358062042,756,1.0,0.49479361523271037,0.01426750365019816,0.49475661193855114,,0.0307614488145712,0.048029461304584624,0.05842373767138588,45,NVDA
0.0839707099826547,634,0.8386243386243386,0.4922237858517391,0.010067128655460666,0.5010400608739183,,0.020950093672061167,0.03339539481976553,0.04304687849314179,90,NVDA
0.04132335179779303,431,0.8484251968503937,0.2589886687308408,0.004655942749297454,0.2652686919834833,,0.019063204423591225,0.015038753573565572,0.01944605860029691,150,QQQ
0.06658327704094046,508,1.0,0.24353455036623112,0.01178519121754762,0.24390504355176484,,0.049239484227594596,0.035960903946317076,0.047866732352325164,21,QQQ
0.056274941362024586,508,1.0,0.25079960374362836,0.009461482976992563,0.25251776873822307,,0.04092150519416651,0.028001581148826733,0.03398235179154855,45,QQQ
0.04641964437602658,488,0.9606299212598425,0.25664256074893504,0.006546516583182338,0.2624206537933329,,0.026373934040835496,0.019807577762912268,0.025363239020025102,90,QQQ
0.046818155691040336,741,0.9775725593667546,0.21707212845549076,0.005528685268637895,0.21664070100767943,,0.026269687139650975,0.01721031056652865,0.02272099536353759,150,SPY
0.08967789584385812,758,1.0,0.20234059635891188,0.010758278373537461,0.1896152475603992,,0.05860791292735168,0.036213208861618114,0.04695108769531916,21,SPY
0.07768007652656261,758,1.0,0.20969158185723688,0.008743936363574248,0.19893559292792445,,0.04565477949668494,0.027807397984157375,0.03799543023909627,45,SPY
0.06431015766384918,722,0.9525065963060686,0.21588984817184906,0.006569989947035254,0.2112505395691185,,0.03253448751976167,0.021390502747864526,0.02985070152703362,90,SPY
0.11763566885728777,713,0.9406332453825857,0.6529881026620361,0.010261724175362863,0.637368994497165,,0.016267798274217034,0.032603703955023135,0.04282156747327445,150,TSLA
0.19544008049214162,758,1.0,0.6726172019771243,0.029135501284052845,0.63658377101528,,0.045461070213222765,0.09293366648550175,0.1270391532829881,21,TSLA
0.16612430352406868,757,0.9986807387862797,0.6736685505224079,0.021805962308335758,0.6457795416156468,,0.033334459262851786,0.06508479385268795,0.08748603320180136,45,TSLA
0.13870565878964616,688,0.9076517150395779,0.6659606531947437,0.013674696041252488,0.6433451009869431,,0.021252537140831383,0.04427411899822732,0.06240433360281805,90,TSLA
