atm_iv_standard_deviation,count,coverage,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor,year
0.03190495941575571,181,0.7479338842975206,0.23095977294022238,0.0043872126322159755,0.22792281384722032,0.003149625878868051,0.018448518179172344,0.01579455876401166,0.02145108573461888,150,2010
0.05296777241970388,149,0.6157024793388429,0.20285948987017344,0.007905697856842336,0.19023218724544189,0.0020837929396409216,0.042729789611242436,0.03648184070068025,0.045660523212512384,21,2010
0.045002062219223024,189,0.78099173553719,0.2071916461448975,0.006681771036341322,0.2011680138297421,0.0015611624132192137,0.032875593830810644,0.02573533705860576,0.03765082670319779,45,2010
0.03624539555920893,201,0.8305785123966942,0.21133673322182267,0.005235940884275564,0.20106004237766037,0.0025621893239964333,0.02454599831943355,0.01624301256668478,0.023166830012155134,90,2010
0.05438164665803997,186,0.7591836734693878,0.2275218162538855,0.006200127579149214,0.20009905763493524,0.002320971226963703,0.028555736109642606,0.020932429528403733,0.02775905406349484,150,2011
0.07790581393871462,159,0.6489795918367347,0.223964093080042,0.011825160026516027,0.19251443016195166,0.001917666194836437,0.05573839392144983,0.03670554661252914,0.04977972071672945,21,2011
0.07220104025259959,200,0.8163265306122449,0.2183426499664037,0.00799059846079049,0.1824668467922037,0.001597545547845497,0.04210577663589728,0.03356742750850099,0.04520459330429765,45,2011
0.05979098099478548,237,0.9673469387755103,0.22283949469076167,0.00674252767174198,0.19542454389938185,0.0021578665607366043,0.030263064472026684,0.025034657241667743,0.03079631539766759,90,2011
0.020295410920859614,191,0.764,0.19198107301668016,0.0043947702127704324,0.18885023934003797,0.0017196058182978313,0.02416953109871263,0.01442258592147448,0.01766671820783305,150,2012
0.03554598038403213,163,0.652,0.16155030707778226,0.008072295682884117,0.1554658297572833,0.001936262389512805,0.0491559673332335,0.024075965749047065,0.028233351542035462,21,2012
0.025616066071258933,204,0.816,0.166750707374818,0.005873678251084702,0.16235895135330042,0.0014604524839634536,0.036708603365299936,0.018419059626493026,0.02318358913175819,45,2012
0.020589316868346405,243,0.972,0.1764303942430723,0.004770049689555356,0.17164759636215743,0.0016351275356166206,0.028116470180144126,0.013834803951130953,0.015914369685172455,90,2012
0.01106327998255287,177,0.7023809523809523,0.14934371758897913,0.004127517876672954,0.14744160764060107,0.001285191125138474,0.028656241519342564,0.013897724019330867,0.019355755896327972,150,2013
