atm_iv_standard_deviation,count,coverage,liquidity_quintile,mean_atm_iv,median_absolute_atm_iv_change,median_atm_iv,median_atm_iv_spread,median_relative_instability,p90_absolute_atm_iv_change,p95_absolute_atm_iv_change,target_tenor
0.03450903018799749,149,0.19656992084432717,1,0.18777569717826584,0.014867175629730445,0.1858486168598059,0.0014587040804697193,0.0794702302049809,0.035420460145997416,0.042363627401467735,150
0.04515072985303122,152,0.20052770448548812,1,0.23708157809976027,0.011385672100126587,0.235754112194748,0.0012956989061583962,0.045584455239182434,0.028001807728968018,0.032163047063564244,21
0.04334205295310971,151,0.19920844327176782,1,0.23347758881508426,0.00925434889315202,0.23590637460256933,0.0010915232981140444,0.03837656633438479,0.02027358774145624,0.026379448046095724,45
0.043460688684090434,145,0.19129287598944592,1,0.20902841219938786,0.009065809880678427,0.21815826506991717,0.00109069391652461,0.04446134249194553,0.032990592830557414,0.04250379135149165,90
0.04340785228748042,148,0.19525065963060687,2,0.1995037864988444,0.013632295340006248,0.19521718784681286,0.00172712020479307,0.0710029954669687,0.03969258222044822,0.045652260853356816,150
0.07984580098314746,151,0.19920844327176782,2,0.22417352429349277,0.013881882481236285,0.20529468115321092,0.0015525675944284556,0.06404861556710105,0.039185658208963,0.051011441759221954,21
0.05256659343437439,150,0.19788918205804748,2,0.21191691706435192,0.011384918547745891,0.20768035683574446,0.0011511157862610782,0.05876108436309905,0.03193834444557931,0.04046425276389914,45
0.04387855752405507,144,0.18997361477572558,2,0.19526581906009163,0.013412159969452456,0.19966246720992828,0.0011473489401789133,0.06897940345140013,0.030634546035493957,0.03998792274998242,90
0.04242790416834549,148,0.19525065963060687,3,0.21335184413632158,0.012682595108267608,0.21275493470976375,0.0023763234293405905,0.06515499095462382,0.03239980772090645,0.03989324489804506,150
0.06866226943156187,152,0.20052770448548812,3,0.18158072971830838,0.012900251451320996,0.16752117714968096,0.0014191053964583977,0.06826362756567902,0.03522711194226318,0.043276021705396656,21
0.06887626501893154,150,0.19788918205804748,3,0.18026076814523562,0.012730629270892281,0.16171873302865328,0.0011888097836408595,0.07312450976547778,0.0272849790887105,0.03908182749479842,45
0.04438637099554744,144,0.18997361477572558,3,0.1957027047508087,0.013269842421161165,0.19105749352996404,0.0011143369726892005,0.06946697261200756,0.031009415591097426,0.040255728538138004,90
0.04287953955098625,148,0.19525065963060687,4,0.226778490951357,0.010910901906923731,0.22912194074474412,0.0037772758848233084,0.050285632422799126,0.04190832058578818,0.04992576684756355,150
0.08598001738725836,151,0.19920844327176782,4,0.18146177674872682,0.012639880139583906,0.15440359524906622,0.0013971929398887695,0.07514407281826563,0.04399430751405099,0.06452155106281854,21
0.07848305499255484,150,0.19788918205804748,4,0.1965057523700038,0.012614117365842392,0.1778209515699351,0.001458090553996677,0.07096801051023736,0.03802858144873316,0.04977736071927505,45
0.05302434383370284,144,0.18997361477572558,4,0.21056804440600208,0.012317076912794322,0.20482747450364844,0.0016478597373525,0.06802620127702133,0.03678664878172315,0.04485363898620322,90
0.054352812314153766,148,0.19525065963060687,5,0.25292864496637996,0.018370487901934046,0.24293074431620618,0.010654402438197222,0.07372441364291515,0.0557002092661283,0.06755106209743114,150
0.1418222186570726,152,0.20052770448548812,5,0.20611171949523036,0.014845755777716588,0.16163943350133006,0.002098392477957685,0.08927257907226543,0.06456967865422353,0.08817975236590155,21
0.11764404630471369,151,0.19920844327176782,5,0.22722032941988182,0.016740599614617074,0.20037180257086046,0.002970568681924468,0.09141338885656047,0.0654267452385599,0.10529112293068138,45
0.09896798762493231,145,0.19129287598944592,5,0.2639670742440796,0.015709463347130942,0.2467338868053204,0.0023486603891933466,0.06795576101505885,0.047476111304792096,0.06774191470475209,90
